ID	Assay	OlinkID	PT_ACC	Panel	SPOT_ID
1	AARSD1	OID21311	Q9BTE6	Oncology	
2	ABHD14B	OID20921	Q96IU4	Neurology	
3	ABL1	OID21280	P00519	Oncology	
4	ACAA1	OID21269	P09110	Oncology	
5	ACAN	OID20159	P16112	Cardiometabolic	
6	ACE2	OID20105	Q9BYF1	Cardiometabolic	
7	ACOX1	OID20124	Q15067	Cardiometabolic	
8	ACP5	OID20314	P13686	Cardiometabolic	
9	ACP6	OID21432	Q9NPH0	Oncology	
10	ACTA2	OID20079	P62736	Cardiometabolic	
11	ACTN4	OID20435	O43707	Inflammation	
12	ACVRL1	OID20999	P37023	Neurology	
13	ACY1	OID20137	Q03154	Cardiometabolic	
14	ADA	OID20645	P00813	Inflammation	
15	ADA2	OID20394	Q9NZK5	Cardiometabolic	
16	ADAM15	OID20109	Q13444	Cardiometabolic	
17	ADAM22	OID21001	Q9P0K1	Neurology	
18	ADAM23	OID20651	O75077	Inflammation	
19	ADAM8	OID21039	P78325	Neurology	
20	ADAMTS13	OID20249	Q76LX8	Cardiometabolic	
21	ADAMTS15	OID21275	Q8TE58	Oncology	
22	ADAMTS16	OID20089	Q8TE57	Cardiometabolic	
23	ADAMTS8	OID21502	Q9UP79	Oncology	
24	ADCYAP1R1	OID21188	P41586	Oncology	
25	ADGRB3	OID20974	O60242	Neurology	
26	ADGRE2	OID20755	Q9UHX3	Inflammation	
27	ADGRG1	OID21294	Q9Y653	Oncology	
28	ADGRG2	OID20189	Q8IZP9	Cardiometabolic	
29	ADH4	OID20117	P08319	Cardiometabolic	
30	ADM	OID21467	P35318	Oncology	
31	AFP	OID20978	P02771	Neurology	
32	AGER	OID20756	Q15109	Inflammation	
33	AGR2	OID20896	O95994	Neurology	
34	AGR3	OID21243	Q8TD06	Oncology	
35	AGRN	OID20786	O00468	Inflammation	
36	AGRP	OID20658	O00253	Inflammation	
37	AGXT	OID20139	P21549	Cardiometabolic	
38	AHCY	OID20199	P23526	Cardiometabolic	
39	AHSP	OID21078	Q9NZD4	Neurology	
40	AIF1	OID21234	P55008	Oncology	
41	AIFM1	OID21287	O95831	Oncology	
42	AK1	OID20122	P00568	Cardiometabolic	
43	AKR1B1	OID21244	P15121	Oncology	
44	AKR1C4	OID20062	P17516	Cardiometabolic	
45	AKT1S1	OID20895	Q96B36	Neurology	
46	AKT3	OID21197	Q9Y243	Oncology	
47	ALCAM	OID20273	Q13740	Cardiometabolic	
48	ALDH1A1	OID21128	P00352	Neurology	
49	ALDH3A1	OID20512	P30838	Inflammation	
50	ALPP	OID21383	P05187	Oncology	
51	AMBN	OID20437	Q9NP70	Inflammation	
52	AMBP	OID21413	P02760	Oncology	
53	AMFR	OID20806	Q9UKV5	Neurology	
54	AMIGO2	OID21370	Q86SJ2	Oncology	
55	AMN	OID20492	Q9BXJ7	Inflammation	
56	AMY2A	OID20333	P04746	Cardiometabolic	
57	AMY2B	OID20340	P19961	Cardiometabolic	
58	ANG	OID20403	P03950	Cardiometabolic	
59	ANGPT1	OID20740	Q15389	Inflammation	
60	ANGPT2	OID21463	O15123	Oncology	
61	ANGPTL1	OID20211	O95841	Cardiometabolic	
62	ANGPTL2	OID20726	Q9UKU9	Inflammation	
63	ANGPTL3	OID20407	Q9Y5C1	Cardiometabolic	
64	ANGPTL4	OID20703	Q9BY76	Inflammation	
65	ANGPTL7	OID21412	O43827	Oncology	
66	ANKRD54	OID21162	Q6NXT1	Oncology	
67	ANPEP	OID20350	P15144	Cardiometabolic	
68	ANXA10	OID20886	Q9UJ72	Neurology	
69	ANXA11	OID20583	P50995	Inflammation	
70	ANXA3	OID21036	P12429	Neurology	
71	ANXA4	OID20123	P09525	Cardiometabolic	
72	ANXA5	OID20810	P08758	Neurology	
73	AOC1	OID20452	P19801	Inflammation	
74	AOC3	OID20389	Q16853	Cardiometabolic	
75	APBB1IP	OID21359	Q7Z5R6	Oncology	
76	APEX1	OID21434	P27695	Oncology	
77	APLP1	OID20164	P51693	Cardiometabolic	
78	APOH	OID21072	P02749	Neurology	
79	APOM	OID20374	O95445	Cardiometabolic	
80	APP	OID21070	P05067	Neurology	
81	APRT	OID20927	P07741	Neurology	
82	AREG	OID21357	P15514	Oncology	
83	ARG1	OID21445	P05089	Oncology	
84	ARHGAP1	OID21202	Q07960	Oncology	
85	ARHGAP25	OID21255	P42331	Oncology	
86	ARHGEF12	OID20554	Q9NZN5	Inflammation	
87	ARID4B	OID20803	Q4LE39	Neurology	
88	ARNT	OID20432	P27540	Inflammation	
89	ARSA	OID21138	P15289	Neurology	
90	ARSB	OID21331	P15848	Oncology	
91	ART3	OID20346	Q13508	Cardiometabolic	
92	ARTN	OID20446	Q5T4W7	Inflammation	
93	ASAH2	OID20996	Q9NR71	Neurology	
94	ASGR1	OID20990	P07306	Neurology	
95	ATF2	OID20798	P15336	Neurology	
96	ATG4A	OID21246	Q8WYN0	Oncology	
97	ATOX1	OID21476	O00244	Oncology	
98	ATP5IF1	OID20760	Q9UII2	Inflammation	
99	ATP5PO	OID20811	P48047	Neurology	
100	ATP6AP2	OID21178	O75787	Oncology	
101	ATP6V1D	OID21341	Q9Y5K8	Oncology	
102	ATP6V1F	OID20843	Q16864	Neurology	
103	ATXN10	OID20865	Q9UBB4	Neurology	
104	AXIN1	OID20582	O15169	Inflammation	
105	AXL	OID20363	P30530	Cardiometabolic	
106	AZU1	OID20309	P20160	Cardiometabolic	
107	B4GALT1	OID20780	P15291	Inflammation	
108	B4GAT1	OID21127	O43505	Neurology	
109	BACH1	OID20505	O14867	Inflammation	
110	BAG3	OID20972	O95817	Neurology	
111	BAG6	OID20114	P46379	Cardiometabolic	
